origin_location;destination_location;coor_y;coor_x;distance_in_km;vehicle_type;tripfare
KOTA BANDUNG;CIPATUJAH;-7.626005798;108.010793;177;Tronton Box;2935600
KOTA BANDUNG;CIPATUJAH;-7.626005798;108.010793;177;Tronton Wing Box;2935600
KOTA BANDUNG;CIPATUJAH;-7.626005798;108.010793;177;Engkel Pickup;1173800
KOTA BANDUNG;CIPATUJAH;-7.626005798;108.010793;177;Double Engkel Box;1353800
KOTA BANDUNG;CIPATUJAH;-7.626005798;108.010793;177;Tronton Bak;2935600
KOTA BANDUNG;CIPATUJAH;-7.626005798;108.010793;177;Tronton Bak;2935600
KOTA BANDUNG;GROBOGAN;-7.54843684;108.2892058;434;Ekonomi;1890000
KOTA BANDUNG;GROBOGAN;-7.54843684;108.2892058;434;MPV;1915000
KOTA BANDUNG;GROBOGAN;-7.54843684;108.2892058;434;Van;2100000
KOTA BANDUNG;GROBOGAN;-7.54843684;108.2892058;434;Double Engkel Pickup;2700000
KOTA BANDUNG;GROBOGAN;-7.54843684;108.2892058;434;CDD Long;3500000
KOTA BANDUNG;GROBOGAN;-7.54843684;108.2892058;434;Fuso Box;3950000
KOTA BANDUNG;GROBOGAN;-7.54843684;108.2892058;434;Small Box;2200000
KOTA BANDUNG;GROBOGAN;-7.54843684;108.2892058;434;Pickup;2100000
KOTA BANDUNG;GROBOGAN;-7.54843684;108.2892058;434;Engkel Box;2175000
KOTA BANDUNG;GROBOGAN;-7.54843684;108.2892058;434;Fuso Bak;3950000
KOTA BANDUNG;GROBOGAN;-7.54843684;108.2892058;434;Tronton Box;5040000
KOTA BANDUNG;GROBOGAN;-7.54843684;108.2892058;434;Tronton Wing Box;5040000
KOTA BANDUNG;GROBOGAN;-7.54843684;108.2892058;434;Engkel Pickup;2175000
KOTA BANDUNG;GROBOGAN;-7.54843684;108.2892058;434;Double Engkel Box;2700000
KOTA BANDUNG;GROBOGAN;-7.54843684;108.2892058;434;Tronton Bak;5040000
KOTA BANDUNG;GROBOGAN;-7.54843684;108.2892058;434;Tronton Bak;5040000
KOTA BANDUNG;JOMBANG;-7.551164966;112.2351081;624;Ekonomi;1865816
KOTA BANDUNG;JOMBANG;-7.551164966;112.2351081;624;MPV;1875816
KOTA BANDUNG;JOMBANG;-7.551164966;112.2351081;624;Van;2079560
KOTA BANDUNG;JOMBANG;-7.551164966;112.2351081;624;Double Engkel Pickup;3005736
KOTA BANDUNG;JOMBANG;-7.551164966;112.2351081;624;CDD Long;3451800
KOTA BANDUNG;JOMBANG;-7.551164966;112.2351081;624;Fuso Box;5305000
KOTA BANDUNG;JOMBANG;-7.551164966;112.2351081;624;Small Box;2161548
