origin_location;destination_location;vehicle_type;distance_in_km;tripfare
KOTA BANDUNG;JOMBANG;Fuso Box;624;5305000
KOTA BANDUNG;JOMBANG;Small Box;624;2161548
KOTA BANDUNG;JOMBANG;Pickup;624;2089900
KOTA BANDUNG;JOMBANG;Engkel Box;624;2723900
KOTA BANDUNG;JOMBANG;Fuso Bak;624;5305000
KOTA BANDUNG;JOMBANG;Tronton Box;624;5883800
KOTA BANDUNG;JOMBANG;Tronton Wing Box;624;5883800
KOTA BANDUNG;JOMBANG;Engkel Pickup;624;2575400
KOTA BANDUNG;JOMBANG;Double Engkel Box;624;3005736
KOTA BANDUNG;JOMBANG;Tronton Bak;624;5883800
KOTA BANDUNG;JOMBANG;Tronton Bak;624;5883800
KOTA BANDUNG;KAB BOGOR;Ekonomi;122;740000
KOTA BANDUNG;KAB BOGOR;MPV;122;765000
KOTA BANDUNG;KAB BOGOR;Van;122;900000
KOTA BANDUNG;KAB BOGOR;Double Engkel Pickup;122;1400000
KOTA BANDUNG;KAB BOGOR;CDD Long;122;1942500
KOTA BANDUNG;KAB BOGOR;Fuso Box;122;2289000
KOTA BANDUNG;KAB BOGOR;Small Box;122;1000000
KOTA BANDUNG;KAB BOGOR;Pickup;122;900000
KOTA BANDUNG;KAB BOGOR;Engkel Box;122;1150000
KOTA BANDUNG;KAB BOGOR;Fuso Bak;122;2289000
KOTA BANDUNG;KAB BOGOR;Tronton Box;122;3000000
KOTA BANDUNG;KAB BOGOR;Tronton Wing Box;122;3000000
KOTA BANDUNG;KAB BOGOR;Engkel Pickup;122;1207500
KOTA BANDUNG;KAB BOGOR;Double Engkel Box;122;1400000
KOTA BANDUNG;KAB BOGOR;Tronton Bak;122;3000000
KOTA BANDUNG;KAB BOGOR;Tronton Bak;122;3000000
KOTA BANDUNG;KAB CIREBON;Ekonomi;119;461560
KOTA BANDUNG;KAB CIREBON;MPV;119;471560
KOTA BANDUNG;KAB CIREBON;Van;119;531998
KOTA BANDUNG;KAB CIREBON;Double Engkel Pickup;119;1098600
KOTA BANDUNG;KAB CIREBON;CDD Long;119;1435500
KOTA BANDUNG;KAB CIREBON;Fuso Box;119;2129400
KOTA BANDUNG;KAB CIREBON;Small Box;119;581755
KOTA BANDUNG;KAB CIREBON;Pickup;119;554677
KOTA BANDUNG;KAB CIREBON;Engkel Box;119;817145
KOTA BANDUNG;KAB CIREBON;Fuso Bak;119;2129400
KOTA BANDUNG;KAB CIREBON;Tronton Box;119;2483200
KOTA BANDUNG;KAB CIREBON;Tronton Wing Box;119;2483200
KOTA BANDUNG;KAB CIREBON;Engkel Pickup;119;918600
KOTA BANDUNG;KAB CIREBON;Double Engkel Box;119;1098600
KOTA BANDUNG;KAB CIREBON;Tronton Bak;119;2483200
KOTA BANDUNG;KAB CIREBON;Tronton Bak;119;2483200
KOTA BANDUNG;KAB MAGELANG;Ekonomi;384;1236016
KOTA BANDUNG;KAB MAGELANG;MPV;384;1246016
KOTA BANDUNG;KAB MAGELANG;Van;384;1359560
KOTA BANDUNG;KAB MAGELANG;Double Engkel Pickup;384;2150376
KOTA BANDUNG;KAB MAGELANG;CDD Long;384;2666200
KOTA BANDUNG;KAB MAGELANG;Fuso Box;384;3979400
KOTA BANDUNG;KAB MAGELANG;Small Box;384;1453068
KOTA BANDUNG;KAB MAGELANG;Pickup;384;1393900
KOTA BANDUNG;KAB MAGELANG;Engkel Box;384;1882156
KOTA BANDUNG;KAB MAGELANG;Fuso Bak;384;3979400
KOTA BANDUNG;KAB MAGELANG;Tronton Box;384;4386200
KOTA BANDUNG;KAB MAGELANG;Tronton Wing Box;384;4386200
KOTA BANDUNG;KAB MAGELANG;Engkel Pickup;384;1970376
KOTA BANDUNG;KAB MAGELANG;Double Engkel Box;384;2150376
KOTA BANDUNG;KAB MAGELANG;Tronton Bak;384;4386200
KOTA BANDUNG;KAB MAGELANG;Tronton Bak;384;4386200
KOTA BANDUNG;KAB REMBANG;Ekonomi;498;1535192
KOTA BANDUNG;KAB REMBANG;MPV;498;1545192
KOTA BANDUNG;KAB REMBANG;Van;498;1701560
KOTA BANDUNG;KAB REMBANG;Double Engkel Pickup;498;2556672
KOTA BANDUNG;KAB REMBANG;CDD Long;498;3048600
KOTA BANDUNG;KAB REMBANG;Fuso Box;498;4673000
KOTA BANDUNG;KAB REMBANG;Small Box;498;1789596
KOTA BANDUNG;KAB REMBANG;Pickup;498;1724500
KOTA BANDUNG;KAB REMBANG;Engkel Box;498;2282900
KOTA BANDUNG;KAB REMBANG;Fuso Bak;498;4673000
KOTA BANDUNG;KAB REMBANG;Tronton Box;498;5102600
KOTA BANDUNG;KAB REMBANG;Tronton Wing Box;498;5102600
KOTA BANDUNG;KAB REMBANG;Engkel Pickup;498;2321400
KOTA BANDUNG;KAB REMBANG;Double Engkel Box;498;2556672
KOTA BANDUNG;KAB REMBANG;Tronton Bak;498;5102600
KOTA BANDUNG;KAB REMBANG;Tronton Bak;498;5102600
KOTA BANDUNG;KAB. BANDUNG;Ekonomi;31;144000
KOTA BANDUNG;KAB. BANDUNG;MPV;31;154000
KOTA BANDUNG;KAB. BANDUNG;Van;31;195200
KOTA BANDUNG;KAB. BANDUNG;Double Engkel Pickup;31;607000
KOTA BANDUNG;KAB. BANDUNG;CDD Long;31;898000
KOTA BANDUNG;KAB. BANDUNG;Fuso Box;31;1303000
KOTA BANDUNG;KAB. BANDUNG;Small Box;31;224500
KOTA BANDUNG;KAB. BANDUNG;Pickup;31;213300
KOTA BANDUNG;KAB. BANDUNG;Engkel Box;31;380500
KOTA BANDUNG;KAB. BANDUNG;Fuso Bak;31;1303000
KOTA BANDUNG;KAB. BANDUNG;Tronton Box;31;1618500
KOTA BANDUNG;KAB. BANDUNG;Tronton Wing Box;31;1618500
KOTA BANDUNG;KAB. BANDUNG;Engkel Pickup;31;427000
KOTA BANDUNG;KAB. BANDUNG;Double Engkel Box;31;607000
KOTA BANDUNG;KAB. BANDUNG;Tronton Bak;31;1618500
KOTA BANDUNG;KAB. BANDUNG;Tronton Bak;31;1618500
KOTA BANDUNG;KAB. BANJARNEGARA;Ekonomi;300;1135600
KOTA BANDUNG;KAB. BANJARNEGARA;MPV;300;1145600
KOTA BANDUNG;KAB. BANJARNEGARA;Van;300;1227560
KOTA BANDUNG;KAB. BANJARNEGARA;Double Engkel Pickup;300;2031000
KOTA BANDUNG;KAB. BANJARNEGARA;CDD Long;300;2305000
KOTA BANDUNG;KAB. BANJARNEGARA;Fuso Box;300;3665000
KOTA BANDUNG;KAB. BANJARNEGARA;Small Box;300;1325100
KOTA BANDUNG;KAB. BANJARNEGARA;Pickup;300;1270300
KOTA BANDUNG;KAB. BANJARNEGARA;Engkel Box;300;1699000
KOTA BANDUNG;KAB. BANJARNEGARA;Fuso Bak;300;3425000
KOTA BANDUNG;KAB. BANJARNEGARA;Tronton Box;300;4055000
KOTA BANDUNG;KAB. BANJARNEGARA;Tronton Wing Box;300;4055000
KOTA BANDUNG;KAB. BANJARNEGARA;Engkel Pickup;300;1791000
KOTA BANDUNG;KAB. BANJARNEGARA;Double Engkel Box;300;2031000
KOTA BANDUNG;KAB. BANJARNEGARA;Tronton Bak;300;3815000
KOTA BANDUNG;KAB. BANJARNEGARA;Tronton Bak;300;3815000
KOTA BANDUNG;KAB. BEKASI;Ekonomi;125;740000
KOTA BANDUNG;KAB. BEKASI;MPV;125;765000
KOTA BANDUNG;KAB. BEKASI;Van;125;900000
KOTA BANDUNG;KAB. BEKASI;Double Engkel Pickup;125;1400000
KOTA BANDUNG;KAB. BEKASI;CDD Long;125;1942500
KOTA BANDUNG;KAB. BEKASI;Fuso Box;125;2289000
KOTA BANDUNG;KAB. BEKASI;Small Box;125;1000000
KOTA BANDUNG;KAB. BEKASI;Pickup;125;900000
KOTA BANDUNG;KAB. BEKASI;Engkel Box;125;1150000
